简体	越南
战甲上的鬼纹，其实是汉武帝练习亲笔签名留下的真迹。	Quỷ văn ở trên chiến giáp, thực ra là bút tích thật của Hãn Vũ Đế đích thân ký lên đó để lưu lại đấy
人王印	Nhân Vương Ấn
特制珍品印刻，高富帅常用。	Ấn khắc trân phẩm đặc chế, cao phú soái thường dùng
豫州英雄祭坛尚未解锁	Dự Châu Anh Hùng Tế Đàn chưa mở
双龙戟	Song Long Kích
锋利无匹，绝对是杀敌利器，倒过来还可以当高跷用，可以在作案后不留痕迹地逃离现场。	Sắc bén vô đối, tuyệt đối là lợi khí sát địch, đảo ngược lại còn có thể dùng như cà kheo, sau khi gây án có thể tẩu thoát mà không để lại dấu tích nào
逍遥扇	Tiêu Diêu Phiến
清风阵阵，风度翩翩，扇逍遥人更逍遥，正是高富帅专用的绝佳好扇。	Thanh phong trận trận, phong độ thanh thoát, đó chính là chiếc vũ phiến tốt chuyên dụng của cao phú soái
烽火战甲	Phong Hỏa Giáp
让你如烽火一般风骚妖娆，在交手一瞬间就可以晃瞎敌人的狗眼！	Để ngươi phong tao yêu nhiễu y như phong hỏa, khi giao thủ trong tích tắc có  thể làm hoảng hạt ánh mặt khinh bỉ của bọn địch
君主印	Quân Chủ Ấn
全国独一无二的孤品，如有雷同，满门抄斩。	Là độc phẩm có một không hai của toàn nước, như lôi đồng, mãn môn miểu trảm
幽州英雄祭坛尚未解锁	U Châu Anh Hùng Tế Đàn chưa mở
龙胆枪	Long Đảm Thương
枪身乃混铁精钢铸成，弹性极好，这就是赵云一直蝉联奥运撑杆跳冠军的真相。	Thương này được chế tạo từ gang thép, độ linh hoạt cực tốt
幽冥扇	U Minh Phiến
拥有来自幽冥鬼府的神奇力量，现已在三国博物馆公开展览，门票一两银子。	Có được từ sức mạnh thần kì của Quỷ phủ U minh, hiện được triển lãm công khai tại bảo tàng Tam Quốc, giá vé 1 lượng bạc
金芒战甲	Kim Mang Giáp
炒黄金一直都是迅速致富的好方式，当然，我们完全可以再给予黄金一些附加价值。	Mua bán vàng luôn là cách làm giàu nhanh nhất, đương nhiên, chúng ta có thể làm tăng thêm một số giá trị phụ khác cho vàng
圣皇印	Thánh Hoàng Ấn
黄帝曾经使用过的珍贵文物，其实没人知道那其实就是一个秤砣。	Là văn vật quý giá mà hoàng đế từng sử dụng, thực ra không ai biết nó thực ra chỉ là 1 quả cân
青龙偃月刀	Thanh Long Đao
关羽最钟爱的武器，据传是关羽团购所得，在不包邮的情况下，邮费比刀本身要贵。	Vũ khí mà Quan Vũ yêu thích nhất, tương truyền là do Quan Vũ mua với giá ưu đãi, nếu tính thêm thì tiền vận chuyển còn mắc hơn cả cây đao
灵霄扇	Linh Tiêu Phiến
凌霄宝殿发行的限量版羽扇，极具收藏价值。	Vũ phiến phiên bản giới hạn của Lăng tiêu bảo điện phát hành, là vật sưu tầm có giá trị
寒冰神甲	Hàn Băng Giáp
穿上他你就是战神，完爆所有小怪兽，而且战斗过程中不会闪红灯！	Mặc nó vào thì ngươi chính là chiến thần, giết sạch bọn tiểu quái, mà trong lúc chiến đấu sẽ không nhấp nháy đèn đỏ
神龙印	Thần Long Ấn
当集齐七颗龙珠过后，神龙就会出现，然后送给你一个纪念品。	Khi thu thập đủ 7 viên long châu, thần long sẽ xuất hiện, sau đó tặng ngươi 1 vật phẩm kỷ niệm
荆州英雄祭坛尚未解锁	Kinh Châu Anh Hùng Tế Đàn chưa mở
方天画戟	Phương Thiên Hoạt Kích
吕布的终身武器，和圆地画戟比起来，虽然头不够圆，但也凑合能用。	Là vũ khí trọn đời của Lữ Bố, so với viên địa hoạt kích, tuy là phần đầu không được tròn, nhưng khi ghép lại vẫn có thể dùng
仙帝扇	Tiên Đế Phiến
据传曾是玉帝专用的羽扇，后来流落人间，上面有玉皇大帝的亲笔签名。	Tương truyền là vũ phiến mà Ngọc Đế từng dùng, sau nay lưu lạc nhân gian, trên đó có khắc tên của Ngọc Hoàng đại đế ngự bút
九皇神铠	Cửu Hoàng Khải
韭黄是蔬菜，九皇才是神铠，请注意认真区分！	Cửu hoàng mới là thần giáp, hãy chú ý phân biệt cẩn thận !
无双印	Vô Song Ấn
据说食用此印后，会发出哐的一声，然后食用者就可以成功放出一个无双技。	Tương truyền sau khi nuốt ấn này, sẽ phát ra 1 tiếng bang , sau đó người nuốt nó sẽ có thể phóng ra 1 chiêu vô song kỹ
夜魅之剑	Dạ Mị Chi Kiếm
夜晚散发凄冷寒光、威力极大，所到之处寒风嗖嗖，剑身刻有“这把宝剑不太冷”。	Nửa đêm phát ra tia sắc bén lạnh lẽo, uy lực cực đại, tới bất kỳ nơi nào cũng có luồng gió vèo qua
造化扇	Tạo Hóa Phiến
造化扇有着造就万物进化生灵之功效，并非造化弄人之扇。	Có tác dụng tiến hóa vạn vật sinh linh, tuyệt không phải phiến tạo hóa dùng để tạo ra người
鬼王战袍	Quỷ Vương Bào
全身布满神兽獠牙，80%人因穿戴不慎而了此一生，生命诚可贵、穿戴需谨慎。	Thân phủ đầy răng nanh thần thú, 80% người vì mặc nó bất cẩn hủy hết cả đời này, sinh mạng đáng quý, hãy thận trọng khi mặc nó
镇魂印	Trấn Hồn Ấn
一双发光的眼睛能震慑人的灵魂，但没有人知道它怎么用。	Chỉ cần đôi mắt phát sáng là có thể ngăn chặn linh hồn chấn nhiếp nhân, nhưng không ai biết nó dùng như thế nào
凉州英雄祭坛尚未解锁	Lương Châu Anh Hùng Tế Đàn chưa mở
玄冥神斧	Huyền Minh Phủ
都说它和沉香的开山斧是一对，其实它们就是一对。	Đã nói nó và trầm hương khai sơn phủ là 1 đôi, thực ra chúng nó chính là 1 đôi mà
圣凰扇	Thánh Phụng Phiến
原名剩黄扇，后因插了几根凤毛后外形顿时大变，从此改头换面。	Tên gốc là thặng hoàng phiến, lúc sau do cắm vào vài lông phụng nên ngoại hình đột biến, từ đó thay hình đổi dạng
轩辕神甲	Hiên Viên Giáp
因为轩辕多次打架都穿着它，轩辕赢了，它和剑也出名了。	Do Hiên Viên nhiều lần đánh nhau đều mặc nó, Hiên Viên thắng rồi nên nó và kiếm từ đó cũng trở nên nổi tiếng
九幽印	Cửu U Ấn
九幽印是九幽十八狱的最高行政长官的身份证明，充分反映了他幽暗孤独的生活现状。	Cửu u ấn là vật chứng minh thân phận của trưởng quan hành chính cao nhất của Cửu u 18 ngục, phản ánh đầy đủ cuộc sống ảm đạm cô độc của ông
巨阙剑	Cự Khuyết Kiếm
重刀有锋、大巧也工、无一人看到不绕着走。	Trọng đao sắc bén, tinh xảo, không một ai mà không quay đầu bỏ chạy khi thấy nó
光轮羽扇	Quang Luân Phiến
夜晚发出耀眼的光轮，照哪哪亮、范围可控，节能又环保。	Nửa đêm phát ra tia sáng lóe mắt, chiếu đến đâu  sáng đến đó, phạm vi khống chế, vừa kiệm năng vừa hoàn bảo
麒麟神甲	Kì Lân Giáp
欲穿此衣必先截肢，霸气外漏的左臂实在是可以震惊每一个穿戴者。	Kẻ yêu thích chiếc áo này trước tiên phải tiệt chi, bá khí ngoại lậu của cánh tay trái thực sự đều làm những người mặc đều phải kinh sợ
璃火印	Ly Hỏa Ấn
上衔冰魄珠，下燃琉璃火，最终因这场冰火战歌而闻名。	Thượng hàm băng phách châu, hạ nhiên lưu ly hỏa, sau cùng vì băng hỏa chiến ca này mà trở nên nổi tiếng
南蛮英雄祭坛尚未解锁	Nam Man Anh Hùng Tế Đàn chưa mở
龙凤日月刀	Long Phụng Đao
凤翅镏金镗 	Phụng Kim Thang
阴风独龙戟	Độc Long Kích
灭天刀	Diệt Thiên Đao
蛟龙追魂扇	Giao Long Phiến
紫电七星扇	Tử Điện Phiến
龙鳞扇	Long Lân Phiến
三皇龙骨扇	Long Cốt Phiến
紫金战铠	Tử Kim Khải
鬼舞圣衣	Quỷ Vũ Y
混元魔袍	Hỗn Nguyên Bào
晶金圣甲	Tinh Kim Giáp
修罗印	Tu La Ấn
鬼帝印	Quỷ Đế Ấn
杀魔印	Sát Ma Ấn
降龙印 	Hàng Long Ấn
炼狱修罗，杀佛成魔，最强的修罗战士才能拥有的凭证。	Luyện Ngục Tu La, Sát Phật Thành Ma, thẻ chiến sĩ Tu La mạnh nhất mới có.
丰都大帝仿制的驾驶证，发给五方鬼帝，用于驾驭冥界布加迪——冥兽。	Thẻ Điều Khiển Phong Đô Đại Đế mô phỏng, phát cho Ngũ Phương Quỷ Đế, dùng để điều khiển Minh Giới Bố Gia Địch - Minh Thú.
传说关二爷死后，杀魔无数，终练得杀魔神印，相传后世。	Nghe nói Quan Nhị Gia mất xong, diệt ma vô số, luyện được Sát Ma Thần Ấn, tương truyền hậu thế.
1级武力石	Ngọc Võ Lực cấp 1
武力+100，可镶嵌于兵器	Võ Lực +100, có thể khảm vào binh khí
2级武力石	Ngọc Võ Lực cấp 2
武力+300，可镶嵌于兵器	Võ Lực +300, có thể khảm vào binh khí
3级武力石	Ngọc Võ Lực cấp 3
武力+700，可镶嵌于兵器	Võ Lực +700, có thể khảm vào binh khí
4级武力石	Ngọc Võ Lực cấp 4
武力+1300，可镶嵌于兵器	Võ Lực +1300, có thể khảm vào binh khí
5级武力石	Ngọc Võ Lực cấp 5
武力+2200，可镶嵌于兵器	Võ Lực +2200, có thể khảm vào binh khí
6级武力石	Ngọc Võ Lực cấp 6
武力+3700，可镶嵌于兵器	Võ Lực +3700, có thể khảm vào binh khí
7级武力石	Ngọc Võ Lực cấp 7
武力+6800，可镶嵌于兵器	Võ Lực +6800, có thể khảm vào binh khí
8级武力石	Ngọc Võ Lực cấp 8
武力+10800，可镶嵌于兵器	Võ Lực +10800, có thể khảm vào binh khí
9级武力石	Ngọc Võ Lực cấp 9
武力+15000，可镶嵌于兵器	Võ Lực +15000, có thể khảm vào binh khí
1级谋略石	Ngọc Mưu Lược cấp 1
谋略+100，可镶嵌于羽扇	Mưu Lược +100, có thể khảm vào vũ phiến
2级谋略石	Ngọc Mưu Lược cấp 2
谋略+300，可镶嵌于羽扇	Mưu Lược +300, có thể khảm vào vũ phiến
3级谋略石	Ngọc Mưu Lược cấp 3
谋略+700，可镶嵌于羽扇	Mưu Lược +700, có thể khảm vào vũ phiến
4级谋略石	Ngọc Mưu Lược cấp 4
谋略+1300，可镶嵌于羽扇	Mưu Lược +1300, có thể khảm vào vũ phiến
5级谋略石	Ngọc Mưu Lược cấp 5
谋略+2200，可镶嵌于羽扇	Mưu Lược +2200, có thể khảm vào vũ phiến
6级谋略石	Ngọc Mưu Lược cấp 6
谋略+3700，可镶嵌于羽扇	Mưu Lược +3700, có thể khảm vào vũ phiến
7级谋略石	Ngọc Mưu Lược cấp 7
谋略+6800，可镶嵌于羽扇	Mưu Lược +6800, có thể khảm vào vũ phiến
8级谋略石	Ngọc Mưu Lược cấp 8
谋略+10800，可镶嵌于羽扇	Mưu Lược +10800, có thể khảm vào vũ phiến
9级谋略石	Ngọc Mưu Lược cấp 9
谋略+15000，可镶嵌于羽扇	Mưu Lược +15000, có thể khảm vào vũ phiến
1级武防石	Ngọc Võ Phòng cấp 1
武防+100，可镶嵌于铠甲	Võ Phòng +100, có thể khảm vào khải giáp
2级武防石	Ngọc Võ Phòng cấp 2
武防+300，可镶嵌于铠甲	Võ Phòng +300, có thể khảm vào khải giáp
3级武防石	Ngọc Võ Phòng cấp 3
武防+700，可镶嵌于铠甲	Võ Phòng +700, có thể khảm vào khải giáp
4级武防石	Ngọc Võ Phòng cấp 4
武防+1300，可镶嵌于铠甲	Võ Phòng +1300, có thể khảm vào khải giáp
5级武防石	Ngọc Võ Phòng cấp 5
武防+2200，可镶嵌于铠甲	Võ Phòng +2200, có thể khảm vào khải giáp
6级武防石	Ngọc Võ Phòng cấp 6
武防+3700，可镶嵌于铠甲	Võ Phòng +3700, có thể khảm vào khải giáp
7级武防石	Ngọc Võ Phòng cấp 7
武防+6800，可镶嵌于铠甲	Võ Phòng +6800, có thể khảm vào khải giáp
8级武防石	Ngọc Võ Phòng cấp 8
武防+10800，可镶嵌于铠甲	Võ Phòng +10800, có thể khảm vào khải giáp
9级武防石	Ngọc Võ Phòng cấp 9
武防+15000，可镶嵌于铠甲	Võ Phòng +15000, có thể khảm vào khải giáp
1级谋防石	Ngọc Mưu Phòng cấp 1
谋防+100，可镶嵌于铠甲	Mưu Phòng +100, có thể khảm vào khải giáp
2级谋防石	Ngọc Mưu Phòng cấp 2
谋防+300，可镶嵌于铠甲	Mưu Phòng +300, có thể khảm vào khải giáp
3级谋防石	Ngọc Mưu Phòng cấp 3
谋防+700，可镶嵌于铠甲	Mưu Phòng +700, có thể khảm vào khải giáp
4级谋防石	Ngọc Mưu Phòng cấp 4
谋防+1300，可镶嵌于铠甲	Mưu Phòng +1300, có thể khảm vào khải giáp
5级谋防石	Ngọc Mưu Phòng cấp 5
谋防+2200，可镶嵌于铠甲	Mưu Phòng +2200, có thể khảm vào khải giáp
6级谋防石	Ngọc Mưu Phòng cấp 6
谋防+3700，可镶嵌于铠甲	Mưu Phòng +3700, có thể khảm vào khải giáp
7级谋防石	Ngọc Mưu Phòng cấp 7
谋防+6800，可镶嵌于铠甲	Mưu Phòng +6800, có thể khảm vào khải giáp
8级谋防石	Ngọc Mưu Phòng cấp 8
谋防+10800，可镶嵌于铠甲	Mưu Phòng +10800, có thể khảm vào khải giáp
9级谋防石	Ngọc Mưu Phòng cấp 9
谋防+15000，可镶嵌于铠甲	Mưu Phòng +15000, có thể khảm vào khải giáp
1级统帅石	Ngọc Thống Soái cấp 1
兵力+100，可镶嵌于护符	Binh lực +100, có thể khảm vào hộ thể
2级统帅石	Ngọc Thống Soái cấp 2
兵力+300，可镶嵌于护符	Binh lực +300, có thể khảm vào hộ thể
3级统帅石	Ngọc Thống Soái cấp 3
兵力+700，可镶嵌于护符	Binh lực +700, có thể khảm vào hộ thể
4级统帅石	Ngọc Thống Soái cấp 4
兵力+1300，可镶嵌于护符	Binh lực +1300, có thể khảm vào hộ thể
5级统帅石	Ngọc Thống Soái cấp 5
兵力+2200，可镶嵌于护符	Binh lực +2200, có thể khảm vào hộ thể
6级统帅石	Ngọc Thống Soái cấp 6
兵力+3700，可镶嵌于护符	Binh lực +3700, có thể khảm vào hộ thể
7级统帅石	Ngọc Thống Soái cấp 7
兵力+6800，可镶嵌于护符	Binh lực +6800, có thể khảm vào hộ thể
8级统帅石	Ngọc Thống Soái cấp 8
兵力+10800，可镶嵌于护符	Binh lực +10800, có thể khảm vào hộ thể
9级统帅石	Ngọc Thống Soái cấp 9
兵力+15000，可镶嵌于护符	Binh lực +15000, có thể khảm vào hộ thể
1级士气石	Ngọc Sĩ Khí cấp 1
士气+10，可镶嵌于装备	Sĩ Khí +10, có thể khảm vào trang bị
2级士气石	Ngọc Sĩ Khí cấp 2
士气+30，可镶嵌于装备	Sĩ Khí +30, có thể khảm vào trang bị
3级士气石	Ngọc Sĩ Khí cấp 3
士气+50，可镶嵌于装备	Sĩ Khí +50, có thể khảm vào trang bị
4级士气石	Ngọc Sĩ Khí cấp 4
士气+80，可镶嵌于装备	Sĩ Khí +80, có thể khảm vào trang bị
5级士气石	Ngọc Sĩ Khí cấp 5
士气+110，可镶嵌于装备	Sĩ Khí +110, có thể khảm vào trang bị
6级士气石	Ngọc Sĩ Khí cấp 6
士气+150，可镶嵌于装备	Sĩ Khí +150, có thể khảm vào trang bị
7级士气石	Ngọc Sĩ Khí cấp 7
士气+190，可镶嵌于装备	Sĩ Khí +190, có thể khảm vào trang bị
8级士气石	Ngọc Sĩ Khí cấp 8
士气+230，可镶嵌于装备	Sĩ Khí +230, có thể khảm vào trang bị
9级士气石	Ngọc Sĩ Khí cấp 9
士气+270，可镶嵌于装备	Sĩ Khí +270, có thể khảm vào trang bị
幻舞艳光	Huyễn Vũ Diễm Quang
50%几率增加1名武将20%攻击（一回合），若失败则增加10%攻击。	Có 50% tỉ lệ tăng 20% công kích 1 Võ Tướng bất kỳ trong hồi 1, thất bại tăng 10% công kích
凝神拒守	Ngưng Thần Cự Thủ
50%几率增加1名武将20%防御（一回合），若失败则增加10%防御。	Có 50% tỉ lệ tăng 20% phòng thủ 1 Võ Tướng bất kỳ trong hồi 1, thất bại tăng 10% phòng thủ
流风回雪	Lưu Phong Hồi Tuyết
50%几率增加1名武将200点士气，若失败则增加100点士气。	Có 50% tỉ lệ  tăng 200 điểm sĩ khí 1 Võ Tướng bất kỳ, thất bại tăng 100 điểm sĩ khí
绝代风华	Tuyệt Đại Phong Hoa
50%几率增加2名武将20%攻击（一回合），若失败则增加10%攻击。	Có 50% tỉ lệ tăng 20% công kích 2 Võ Tướng bất kỳ trong hồi 1, thất bại tăng 10% công kích
铜墙铁壁	Đồng Tường Thiết Bích
50%几率增加2名武将20%防御（一回合），若失败则增加10%防御。	Có 50% tỉ lệ tăng 20% phòng thủ 2 Võ Tướng bất kỳ trong hồi 1, thất bại tăng 10% phòng thủ
艳绝天下	Diễm Tuyệt Thiên Hạ
50%几率增加2名武将200点士气，若失败则增加100点士气。	Có 50% tỉ lệ  tăng 200 điểm sĩ khí 2 Võ Tướng bất kỳ, thất bại tăng 100 điểm sĩ khí
奇袭无双	Kì Tập Vô Song
随机增加2名武将20%攻击（一回合）。	Tăng 20% công kích 2 Võ Tướng bất kỳ trong hồi 1
固若金汤	Cố Nhược Kim Thang
随机增加2名武将20%防御（一回合）。	Tăng 20% phòng thủ 2 Võ Tướng bất kỳ trong hồi 1
蝶光旋舞	Điệp Quang Tuyền Vũ
随机增加2名武将200点士气。	Tăng 200 điểm sĩ khí 2 Võ Tướng bất kỳ
诸葛亮	Gia Cát Lượng
华佗	Hoa Đà
左慈	Tả Từ
白银礼包	Bạch ngân lễ bao
黄金礼包	Hoàng kim lễ bao
钻石礼包	Kim cương lễ bao
“主城征收”开启	Thu thuế mở
“征粮”开启	Thu họach mở
“出征”开启	Xuất chinh mở
“武将信息”开启	Thông tin Võ Tướng mở
“强化”开启	Cường hóa mở
“任务”开启	Nhiệm vụ mở
“招贤馆”开启	Tửu Quán mở
“布阵”开启	Bố trận mở
“仓库”开启	Thương khố mở
“英雄祭坛”开启	Anh Hùng Tế Đàn mở
“商城”开启	Thương thành mở
“锻造”开启	Rèn mở
“成就”开启	Nhiệm Vụ mở
“擂台”开启	Lôi Đài mở
“残卷抢夺”开启	Cướp Tàn Quyển mở
“过关斩将”开启	Quá quan trảm tướng mở
“金矿”开启	Ngân Khoáng mở
