关键字	简体	越南
HELP_LEGION_WAR_5	每场比赛结束，军团将根据战场排名奖励<font color='#00FF00'>军团经验</font>、<font color='#00FF00'>科技令</font>，和参战成员将根据积分奖励<font color='#00FF00'>军团贡献</font>、<font color='#00FF00'>经验人偶</font>。	Sau mỗi trận, Quân Đoàn sẽ nhận được <font color='#00FF00'>Exp Quân Đoàn</font>, <font color='#00FF00'>Khoa Kỹ Lệnh</font>, thành viên Quân Đoàn sẽ nhận được <font color='#00FF00'>Quân Đoàn cống hiến</font>, <font color='#00FF00'>vật phẩm Exp</font>
HELP_LEGION_WAR_6	获得第三轮胜利的军团将占领皇城，其军团长将登基为<font color='#00FF00'>皇帝</font>，享有至尊属性加成。副军团长将册封为<font color='#00FF00'>将军</font>、<font color='#00FF00'>宰相</font>享有高额属性加成，属性加成持续一周。	Quân Đoàn chiến thắng cả 3 hồi sẽ chiếm lĩnh Hoàng Thành, Quân Đoàn trưởng đăng cơ <font color='#00FF00'>Hoàng Đế</font>, Quân Đoàn phó phong thành <font color='#00FF00'>Đại Tướng</font>, <font color='#00FF00'>Thừa Tướng</font> (tùy vào chức vị mà cộng thêm thuộc tính duy trì trong 1 tuần)
HELP_LEGION_WAR_7	在战场中，三个军团各自占据一方主城和附城，成都的的附城为汉中，许昌的附城为赤壁，江陵的附城为荆州。在<font color='#00FF00'>主城</font>受到攻击时，<font color='#00FF00'>攻击+100%加成</font>；在自己<font color='#00FF00'>附城</font>受到攻击或攻击自己附城内的敌人时，<font color='#00FF00'>攻击+80%</font>。	Trong chiến trường, 3 Quân Đoàn sẽ chiếm lĩnh 3 chủ thành (mỗi chủ thành có 1 phụ thành), Hán Trung – Xích Bích – Kinh Châu là phụ thành của Thành Đô – Hứa Xương – Giang Lăng. Tại <font color='#00FF00'>chủ thành</font> công kích tăng <font color='#00FF00'>80%</font>, tại <font color='#00FF00'>phụ thành</font> công kích tăng <font color='#00FF00'>50%</font>.
HELP_LEGION_WAR_8	每次迁徙消耗1点行动力，只能向未被敌对军团占据的相邻城池迁徙。	Tiêu hao 1 điểm hoạt lực để di chuyển đến thành của Quân Đoàn lân cận mà chưa bị kẻ thù chiếm
HELP_LEGION_WAR_9	每次主动攻击消耗1点行动力。	Tiêu hao 1 điểm hoạt lực để tấn công
HELP_LEGION_WAR_10	行动力为0后将无法攻击或迁徙，行动力会随时间恢复，也可花费元宝购买。	Hoạt lực hồi theo thời gian hoặc dùng KNB để mua
HELP_LEGION_WAR_11	击杀和自己等级相近或高于自己的敌人将获得大量积分，击杀低等级敌人只能获得少量积分。	Điểm nhận được khi đánh bại kẻ thù cấp thấp sẽ ít hơn kẻ thù có cấp gần bằng hoặc cao hơn mình
HELP_LEGION_WAR_12	如果连续不死一直击杀其他玩家则为军团战<font color='#00FF00'>连斩</font> ,随着<font color='#00FF00'>连斩</font>次数的增加，每击杀一个其他玩家所获得的积分数也会增加。	Liên tục bất bại sẽ tính thêm điểm <font color='#00FF00'>liên trảm</font>, số <font color='#00FF00'>liên trảm</font> càng cao thì điểm càng nhiều
HELP_LEGION_WAR_13	7座城池每隔一段时间刷出<font color='#00FF00'>怪物</font>，只有城内的玩家才可挑战，击杀后可获得积分奖励。（击杀主城的怪物还会额外获得BUFFER效果。）	Trong 7 thành, mỗi khoảng thời gian sẽ xuất hiện <font color='#00FF00'>Phiến Quân</font> chỉ có thể đánh bại bởi người chơi trong thành, khi Phiến Quân bị đánh bại người chơi sẽ nhận điểm thưởng và chủ thành được chúc phúc
HELP_LEGION_WAR_14	军团积分等于所有成员的积分总和，战场结束时积分最高的军团将获得胜利。	Điểm Quân Đoàn bằng tổng điểm thành viên. Khi kết thúc, Quân Đoàn có điểm cao nhất sẽ chiến thắng
HELP_LEGION_WAR_15	每场军团战开始，玩家首次进入军团战时，自动获得满体力。	Mỗi trận Quân Đoàn chiến, người chơi lần đầu tiên vào được đầy thể lực
HELP_LEGION_WAR_16	每次PVP战斗会消耗体力，单次PVP战斗中损血量越高消耗体力越多。且每次PVP战斗至少消耗10点体力。	Mỗi lần chiến đấu tiêu hao ít nhất 10 điểm thể lực, lượng máu mất càng cao tiêu hao thể lực càng nhiều
HELP_LEGION_WAR_17	击杀各个城池中的怪物时，不扣除体力。	Chiến đấu với Phiến Quân trong thành không bị tiêu hao thể lực
HELP_LEGION_WAR_18	体力消耗为0后即角色死亡，玩家角色会自动返回自己主城，玩家可通过自己主城中的复活功能复活角色。	Khi người chơi tử vong, thể lực về 0 và trở về chủ thành. Thông qua chủ thành để hồi phục thể lực
HELP_LEGION_WAR_19	每场军团战玩家可免费复活2次，之后需要花费元宝复活，每次复活玩家的体力值恢复到上限。	Mỗi trận Quân Đoàn chiến, có 2 lần miễn phí hồi phục thể lực tối đa. Từ lần 3 sẽ tốn KNB
HELP_LEGION_1	军团祈福消耗军团贡献<img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>,可产出<font color='#00FF00'>5级宝石</font>。	Cầu phúc tiêu hao cống hiến <img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>, có thể nhận được <font color='#00FF00'>Ngọc cấp 5</font>
HELP_LEGION_2	使用军团贡献<img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>可在军团商店中兑换道具。	Đổi cống hiến <img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/> lấy vật phẩm tại Tiệm Quân Đoàn
HELP_LEGION_3	通过军团捐献<img src='uires/ui_2nd/com/panel/army_war/donate_icon.png'/>可获得军团贡献<img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>。	Thông qua Quân Đoàn quyên góp <img src='uires/ui_2nd/com/panel/army_war/donate_icon.png'/> để nhận cống hiến Quân Đoàn <img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>
HELP_LEGION_4	参加军团战可获得军团贡献<img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>。	Tham gia Quân Đoàn chiến cũng có thể nhận cống hiến Quân Đoàn <img src='uires/ui_2nd/com/panel/army_war/gong_ico.png'/>
HELP_LEGION_5	军团科技可提升所有军团成员的能力。	Khoa Kỹ tăng thuộc tính cho tất cả Võ Tướng của thành viên Quân Đoàn
HELP_LEGION_6	军团科技界面中显示军团当前拥有的科技令<img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>数量，军团长和副军团长可使用军团拥有的科技令升级军团科技。	Xem số lượng Khoa Kỹ Lệnh <img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>  tại giao diện Quân Đoàn. Quân Đoàn trưởng hoặc phó có thể dùng Khoa Kỹ Lệnh để tăng cấp Khoa Kỹ
HELP_LEGION_7	在部分特殊活动中可获得科技令<img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>，军团成员可捐献科技令<img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>获得军团贡献，同时所在军团会获得对应数量的科技令<img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>。	Khoa Kỹ Lệnh <img src='uires/ui_2nd/com/panel/legion/science_stone.png'/> có được từ hoạt động, thành viên có thể quyên góp Khoa Kỹ Lệnh <img src='uires/ui_2nd/com/panel/legion/science_stone.png'/> để nhận cống hiến, Khoa Kỹ Lệnh <img src='uires/ui_2nd/com/panel/legion/science_stone.png'/> của Quân Đoàn tăng tương ứng với số lượng quyên góp
HELP_LEGION_8	军团战每一轮前三名的军团可分别获得2——6个科技令<img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>。	Sau mỗi trận Quân Đoàn chiến, Quân Đoàn có hạng 1 – 3 nhận được 2 – 6 Khoa Kĩ Lệnh <img src='uires/ui_2nd/com/panel/legion/science_stone.png'/>
HELP_LEGION_9	普通军团活动每日凌晨0：00刷新。	0 giờ hằng ngày sẽ làm mới
HELP_LEGION_10	皇城争霸相关特殊说明见皇城争霸中的指南说明。	Hoạt động Hoàng Thành Tranh Bá xem hướng dẫn để biết thêm thông tin
HELP_LEGION_11	点击军团界面左上角的军团图标进入军团信息界面。	Ấn vào biểu tượng Quân Đoàn ở góc trái phía trên của giao diện Quân Đoàn để xem thông tin
HELP_LEGION_12	军团信息界面中可进行退出军团的操作。	Trong giao diện thông tin Quân Đoàn có nút thoát khỏi Quân Đoàn
HELP_LEGION_13	军团成员完成每日活跃度可增加军团经验。	Thành viên hoàn thành hoạt động của Quân Đoàn để tăng Exp cho Quân Đoàn
HELP_LEGION_14	军团长可在军团信息界面进行军团信息的修改操作。	Có thể sửa thông tin Quân Đoàn tại giao diện thông tin Quân Đoàn
E_STR_PVP_WAR_DESC1	%d区	Server %d
E_STR_PVP_WAR_DESC2	武圣争霸数据异常	Dữ liệu Võ Thánh Tranh Bá bất thường
E_STR_PVP_WAR_DESC3	%d-%d名	Hạng %d - %d
E_STR_PVP_WAR_DESC4	%d名之后	Dưới hạng %d
E_STR_PVP_WAR_DESC5	%d进%d	%d thành %d
E_STR_PVP_WAR_DESC6	很遗憾你止步于%d进%d，请下届继续努力	Thật đáng tiếc, ngươi đã dừng chân tại %d thành %d, hãy cố gắng hơn vào lần sau 
E_STR_PVP_WAR_DESC7	您正在比赛中，加油哦	Bạn đang thi đấu đấy, cố lên nhé
E_STR_PVP_WAR_DESC8	很遗憾你没有进入决赛，请下届继续努力	Thật đáng tiếc, ngươi không vào được chung kết, hãy cố gắng hơn vào lần sau
E_STR_PVP_WAR_DESC9	战斗尚未开始	Chiến đấu vẫn chưa bắt đầu
E_STR_PVP_WAR_DESC10	恭喜你荣获冠军，成为三国武圣！	Chúc mừng ngươi đã trở thành Quán quân, trở thành Tam Quốc Võ Thánh !
E_STR_PVP_WAR_DESC11	决赛期间无法查看战斗记录	Trong lúc diễn ra chung kết không thể xem chiến báo
E_STR_PVP_WAR_DESC12	本服参赛人数已满，未获得参赛资格	Số lượng tham chiến đã đầy, chưa nhận được tư cách tham chiến
E_STR_PVP_WAR_DESC13	未获得参战资格，无法查看	Chưa nhận được tư cách tham chiến, không thể xem
E_STR_PVP_WAR_DESC14	报名人数不足32人，决赛无法开启	Số người báo danh không đủ 32 người, chung kết không thể bắt đầu
E_STR_PVP_WAR_DESC15	距离我的下一场比赛开始还有	Khoảng cách bắt đầu vòng thi sau của tôi vẫn còn
E_STR_PVP_WAR_DESC16	距离下一场战斗开始还有	Khoảng cách bắt đầu vòng thi sau vẫn còn
E_STR_PVP_WAR_DESC17	比赛即将开始，请做好准备！	Cuộc thi sắp bắt đầu, hãy chuẩn bị !
E_STR_PVP_WAR_DESC18	武圣争夺战即将开始，请做好准备！	Võ Thánh Tranh Bá sắp bắt đầu, hãy chuẩn bị !
E_STR_PVP_WAR_DESC19	第%d场	Trận %d
E_STR_PVP_WAR_DESC20	决赛	Trận chung kết
E_STR_PVP_WAR_DESC21	非决赛期间不能查看人物信息	Chưa phải chung kết không thể xem thông tin nhân vật
E_STR_PVP_WAR_TIME_DESC1	距离我下一场比赛开始还有	Khoảng cách bắt đầu trận đấu kế tiếp của ta còn
E_STR_PVP_WAR_TIME_DESC2	距离下一场比赛开始还有	Khoảng cách bắt đầu trận đấu kế tiếp còn
E_STR_PVP_WAR_WU	无	Không
E_STR_PVP_WAR_AWARDS_DESC1	每日奖励	Quà ngày
E_STR_PVP_WAR_AWARDS_DESC2	排名奖励	Phần thưởng
E_STR_PVP_WAR_AWARDS_DESC3	4强竞猜	Dự đoán Tứ Cường
E_STR_PVP_WAR_AWARDS_DESC4	武圣竞猜	Dự đoán Võ Thánh
E_STR_PVP_WAR_MATCH_DESC	今日免费次数已用完，是否花费%d元宝继续更换对手？	Đã dùng hết số lần miễn phí hôm nay, đồng ý dùng %d KNB tiếp tục đổi đối thủ?
E_STR_TOKEN	荣誉令牌	Lệnh Bài Vinh Dự
E_STR_PVP_OPEN_LEVEL	武圣争霸40级开放	Võ thánh tranh bá cấp 40 mở
E_STR_PVP_WAR_BATTLE_TIMES	今天剩余%d次免费挑战次数	Khiêu chiến hôm nay còn: %d lần
E_STR_PVP_WAR_MATCH_TIMES	今天剩余%d次免费匹配次数	Đổi đối thủ còn: %d lần
E_STR_PVP_WAR_CANNOT_FIGHT	当前尚未匹配对手，无法战斗	Hiện tại chưa có đối thủ phù hợp, không thể chiến đấu
E_STR_PVP_KNOCKOUT_DESC1	每个小组只能支持一人，是否支持此玩家？	Mỗi đội chỉ cần 1 người ủng hộ, đồng ý ủng hộ người chơi này?
E_STR_PVP_SUPPORT_SUCCESS	支持成功	Ủng hộ thành công
E_STR_PVP_REVENGE_INFO	复仇只能进攻一次，且会消耗一次免费挑战次数。是否现在发起复仇进攻	Phục thù chỉ có 1 lần, tốn 1 lần khiêu chiến. Tấn công
E_STR_PVP_MAIN_HELP_DESC1	武圣争霸赛每周举办一次，主公将与其他服务器的多名玩家一起竞技，争夺代表三国最高荣誉和实力的武圣称号。	Võ Thánh Tranh Bá mỗi tuần tổ chức 1 lần, Chủ Công sẽ cùng với nhiều người chơi ở máy chủ khác cạnh tranh, đại diện Tam Quốc vinh dự và thực lực cao nhất tranh đoạt xưng hiệu Võ Thánh 
E_STR_PVP_MAIN_HELP_DESC2	玩家进入活动时，根据其进入时的战斗力获得一个初始积分，战斗力越高，获得的初始积分也就越高。	Căn cứ lực chiến mà nhận được số điểm ban đầu, lực chiến càng cao thì số điểm ban đầu nhận được càng cao
E_STR_PVP_MAIN_HELP_DESC3	活动分为两个阶段，周一到周五为积分排位赛，周六日为决赛阶段。排位赛每周一凌晨00:00开始，排位赛期间，玩家通过匹配与其他玩家进行战斗，胜利获得积分，失败扣除积分。	Sự kiện chia làm 2 giai đoạn, thứ 2 - thứ 6 là tính Điểm vòng loại, thứ 7 - cn là giai đoạn chung kết. Trong thời gian vòng loại, chiến đấu với người chơi khác thắng sẽ nhận được Điểm, thua sẽ bị trừ Điểm
E_STR_PVP_MAIN_HELP_DESC4	排位赛周五晚上24:00结束，根据最终积分高低决定排名（同积分情况下以进入活动先后顺序排名），积分排名前32的玩家获得进入周六日的阶段阶段比赛的资格，争夺武圣称号。若排位赛参赛玩家不超过32位，则决赛无法开启。	Vòng loại kết thúc vào 0 giờ tối thứ 6, căn cứ Điểm cuối cùng để xếp hạng (nếu bằng điểm sẽ xếp hạng theo thứ tự bước vào sự kiện), 32 hạng đầu được vào giai đoạn chung kết (thứ 7 - cn), tranh đoạt danh hiệu Võ Thánh
E_STR_PVP_MAIN_HELP_DESC5	每个玩家每天有10次免费挑战次数和50次免费更换匹配对象的机会。免费次数使用完后，需要消耗元宝才能再次匹配和挑战。	Mỗi người chơi có 10 lần khiêu chiến và 50 lần thay thế đối thủ miễn phí mỗi ngày. Sau khi dùng hết số lần miễn phí, cần tiêu hao KNB mới có thể đổi đối thủ và khiêu chiến lần nữa.
E_STR_PVP_MAIN_HELP_DESC6	主动挑战其他玩家可以获得荣誉令牌，荣誉令牌可以用来在令牌商城兑换道具。荣誉令牌只能通过主动挑战获得，被动防守无法获得荣誉令牌。	Chủ động khiêu chiến người chơi khác có thể nhận được Lệnh Bài Vinh Dự dùng để đổi vật phẩm tại Thương Thành. Lệnh Bài Vinh Dự chỉ nhận được thông qua chủ động khiêu chiến, phòng thủ không nhận được Lệnh Bài Vinh Dự
E_STR_PVP_MAIN_HELP_DESC7	称号获取规则请参照排行榜。	Vui lòng truy cập BXH để xem quy tắc xưng hiệu
E_STR_PVP_KNOCKOUT_HELP_DESC1	决赛参赛选手为排位赛积分排名前32名玩家，进入决赛后随即分成4个小组进行比赛。	Tham gia chung kết là người chơi xếp 32 hạng đầu của vòng loại, chia thành 4 bảng tiến hành thi đấu
E_STR_PVP_KNOCKOUT_HELP_DESC2	决赛分为两日进行，周六进行小组赛，决出每个小组头名进入4强参加周日的武圣争夺战决赛。	Chung kết tiến hành trong 2 ngày, thứ 7 4 bảng tiến hành thi đấu, chọn ra 4 người mạnh nhất của mỗi bảng tham gia quyết chiến Võ Thánh Tranh Bá vào chủ nhật
E_STR_PVP_KNOCKOUT_HELP_DESC3	周六比赛在下午14:00开始，将32名玩家分成4个小组，通过3轮小组赛决出每个小组冠军进入周日的4强赛。	Cuộc thi bắt đầu vào thứ 7 14:00 giờ, 32 người chơi chia thành 4 bảng, sau 3 lượt đấu sẽ chọn ra quán quân của mỗi đội bước vào chung kết vào ngày chủ nhật
E_STR_PVP_KNOCKOUT_HELP_DESC4	比赛时，每轮比赛间隔30分钟，采用5局3胜制，每局比赛间隔5分钟。每轮比赛的胜者晋级下一轮比赛。周六经过三轮比赛决出每个小组冠军，进入周日的决赛。	Khi thi đấu, mỗi hồi thi cách nhau 30 phút, sử dụng chế độ 5 trận thắng 3, mỗi trận thi đấu cách nhau 5 phút. Người thắng của mỗi trận sẽ tiến vào trận tiếp theo. Thứ 7, sau 3 lượt chọn ra được Quán Quân của mỗi bảng, đấu chung kết vào chủ nhật
E_STR_PVP_KNOCKOUT_HELP_DESC5	决赛在周日下午14:00开赛，间隔时间与周六小组赛相同，通过2轮比赛决出最终的冠军。	Chung kết bắt đầu lúc 14:00 chủ nhật, thời gian cách nhau giống như thi đấu tiểu đội ngày 7, trải qua 2 hồi thi chọn ra Quán Quân cuối cùng.
E_STR_PVP_KNOCKOUT_HELP_DESC6	每一轮被淘汰的选手，在当前档次中按照积分高低进行排名，积分越高，排名越前。	Người chơi bị loại sau mỗi hồi thi, căn cứ Điểm tiến hành xếp hạng, Điểm càng nhiều thì xếp hạng càng cao
E_STR_PVP_KNOCKOUT_HELP_DESC7	小组赛和4强赛开始前，玩家可以进行4强名单和武圣竞猜，竞猜没有消耗，竞猜成功后可以获得竞猜奖励。	Trước khi bắt đầu cuộc thi các bảng và tứ cường, người chơi có thể tiến hành dự đoán, dự đoán không tốn gì cả, nếu dự đoán thành công sẽ nhận được phần thưởng
E_STR_PVP_KNOCKOUT_HELP_DESC8	决赛结束后，根据最终的武圣排名发放奖励。排名靠前的玩家可以获得特别丰厚的奖励。同时，根据上一周的最终排名，在下一周周一到周五期间，每天还会根据玩家上周所获得的称号发放每日俸禄奖励。	Căn cứ xếp hạng cuối cùng phát phần thưởng. Xếp hạng cao nhận được phần thưởng lớn. Đồng thời, căn cứ xếp hạng cuối cùng của tuần trước, trong thời gian thứ 2 đến thứ 6 tuần kế tiếp, mỗi ngày nhận thưởng dựa theo xưng hiệu nhận được
E_STR_PVP_KNOCKOUT_HELP_DESC9	只要参加了武圣争霸赛的玩家，不论排名如何，在活动结束后均会获得称号和对应奖励。	Hễ người chơi nào đã tham gia cuộc thi Võ Thánh Tranh Bá, không cần biết xếp hạng ra sao, khi sự kiện kết thúc đều nhận được danh hiệu và phần thưởng tương ứng
E_STR_PVP_MY_QUIZ_HELP_DESC1	决赛阶段的比赛中，玩家可以进行竞猜，支持自己看中的选手争夺小组第一和最终的武圣称号。	Trong giai đoạn chung kết, người chơi có thể tiến hành dự đoán, ủng hộ cho Quân Chủ tranh đoạt danh hiệu Võ Thánh mà mình yêu thích
E_STR_PVP_MY_QUIZ_HELP_DESC2	小组赛开始前，可以在每个小组中选择一名玩家支持其争夺小组冠军，每个小组只能选择支持一名玩家，且一旦选择后无法更改。最多可以支持4个小组的4名玩家。	Trước khi bắt đầu vòng đấu bản, có thể chọn 1 người chơi ủng hộ tranh đoạt Quán Quân, mỗi bảng chỉ được chọn ủng hộ một người chơi, và sau khi chọn không thể đổi. Nhiều nhất có thể ủng hộ 4 người chơi ở 4 bảng
E_STR_PVP_MY_QUIZ_HELP_DESC3	小组赛开始后，便无法再进行小组赛竞猜。小组赛结束后，在4强战开始前，可以进行最终冠军竞猜。	Sau khi bắt đầu vòng đấu bảng, sẽ không thể tiến hành dự đoán. Sau khi kết thúc vòng thi đó, trước khi bắt đầu vòng thi top 4, có thể tiến hành dự đoán Quán Quân cuối cùng
E_STR_PVP_MY_QUIZ_HELP_DESC4	冠军竞猜时，只能支持一位玩家竞争武圣称号，且支持后无法更改。	Khi dự đoán Quán Quân, chỉ cho phép dự đoán một người nhận danh hiệu Võ Thánh, và sau đó sẽ không thể đổi
E_STR_PVP_MY_QUIZ_HELP_DESC5	玩家每成功竞猜一次，则可以领取一份竞猜奖励。多次竞猜成功，则可以领取多份竞猜奖励。	Người chơi mỗi lần dự đoán thành công, sẽ được nhận 1 phần thưởng dự đoán. Nhiều lần dự đoán thành công, sẽ nhận được nhiều phần thưởng
E_STR_PVP_MY_QUIZ_HELP_DESC6	竞猜成功后，下次进入活动界面时自动发放竞猜奖励。奖励发放时，将当前所有竞猜奖励一次性发放。	Sau khi dự đoán thành công, lần sau vào giao diện dự đoán sẽ tự động phát phần thưởng. Khi phát phần thưởng, sẽ cùng phát 1 lúc các phần thưởng trước đó
E_STR_PVP_MY_REPORTS_HELP_DESC1	我的战绩用于显示参加了32强战斗的玩家的战斗记录。	Chiến báo lưu lại lịch sử các trận chiến của 32 người chơi mạnh nhất
E_STR_PVP_MY_REPORTS_HELP_DESC2	每条记录显示每一场战斗的对手和自己的战斗结果。	Mỗi chiến báo sẽ hiển thị đối thủ và kết quả chiến đấu của bản thân sau mỗi trận đấu
E_STR_PVP_MY_REPORTS_HELP_DESC3	在同一轮比赛中，会有多场战斗记录。	Trong cùng 1 hồi thi, sẽ có nhiều chiến báo
E_STR_PVP_MY_REPORTS_HELP_DESC4	战绩记录截止到玩家被淘汰为止时所发生的所有战斗。	Chiến báo sẽ ghi lại hết tất cả các trận chiến của người chơi cho đến khi bị loại
E_STR_PVP_RULE_HELP_DESC1	称号是武圣争霸活动中特有的奖励	Danh hiệu là phần thưởng đặc biệt có được từ sự kiện Võ Thánh Tranh Bá
E_STR_PVP_RULE_HELP_DESC2	每周的活动中，决赛结束后，将根据最终的玩家排名发放称号	Trong sự kiện mỗi tuần, sau khi kết thúc chung kết, sẽ căn cứ vào xếp hạng cuối cùng của người chơi để phát tặng danh hiệu
E_STR_PVP_RULE_HELP_DESC3	称号发放后自动附加给玩家，在下一周活动中玩家可以享受称号带来的特权	Sau khi phát tặng, danh hiệu sẽ tự động gắn vào người chơi, trong sự kiện tuần tiếp theo người chơi có thể hưởng các đặc quyền mà danh hiệu mang lại
E_STR_PVP_RULE_HELP_DESC4	玩家获得称号后，在下一周周一到周五期间，可以在每一次进入活动时，领取称号对应的日常俸禄，称号越高级，可以获得的日常俸禄也就越好	Sau khi người nhận được danh hiệu, trong thứ 2 đến thứ 6 tuần kế tiếp, trong mỗi lần bước vào sự kiện, có thể nhận bổng lộc hằng ngày tương ứng với danh hiệu, danh hiệu càng cao thì bổng lộc nhận được sẽ càng cao
E_STR_FB_URL	https://www.facebook.com/menhthientu.negabox	https://www.facebook.com/menhthientu.negabox
E_STR_GAME_URL	http://www.menhthientu.com/	http://www.menhthientu.com/
E_STR_DESTINY_WHEEL_INFO	x8<font color='#00FF00'>，将额外获赠</font>  <font color='#FF0000'>%s</font>	x 8, <font color='#00FF00'>sẽ được nhận thêm </font> <font color='#FF0000'>%s</font>
E_STR_SETTING_TITLE	稟報督軍	Liên Hệ
E_STR_SETTING_INFO	稟報督軍規則說明：<br/>1.將督軍加入您的 LINE 好友<br/>督軍成功加入為您的 LINE 好友後，即可利用以下按鈕『立馬開始稟報』，與督軍對話進行戰情回報。<br/>督軍 LINE ID：MOFUN_SERVICE<br/>2.可稟報督軍的時間為：每日 10:00 ~ 23:00 非稟報時間請使用飛鴿傳書回報戰情即可。<br/>督軍位置：【MDCAPP_SERVICE@MO-FUN.COM.TW】	Trang chủ: http://www.menhthientu.com/<br/>Fanpage: https://www.facebook.com/menhthientu.negabox<br/>Email: info@menhthientu.com<br/>Số điện thoại: 08 6685 2781
E_STR_SENDTO_LINE	我是【夢貂蟬APP】的玩家，我的角色名稱是『%s』，ID是『%s』，我有重要戰情要立馬稟報督軍。	Tôi là người chơi của [Mộng Điêu Thuyền APP] , tên nhân vật của tôi là [%s], ID là [%S], tôi có tình chiến quan trọng cần bẩm báo Đốc quân
E_STR_SETTING_BUT_TX	<img src='uires/ui_2nd/com/panel/systemseting/line.png'/>立馬開始稟報	OK
E_STR_LOGIN_FAILED	登陆失败，请重试。	Đăng nhập thất bại, hãy thử lại
E_STR_LAST_TIME_TODAY	今天%s	Hôm nay %s
E_STR_LAST_TIME_YESTERDAY	昨天%s	Hôm qua %s
E_STR_LAST_TIME_BEFORE_YESTERDAY	前天%s	Hôm kia %s
E_STR_LAST_TIME_THREE_DAY	三天前	3 ngày trước
E_STR_LAST_TIME_WEEK	一周前	tuần trước
E_STR_PAYCARNIVAL_UNFINISHED	<img src='uires/ui_2nd/com/panel/common/cash_icon.png'/>%s/%s	<img src='uires/ui_2nd/com/panel/common/cash_icon.png'/> %s/%s
E_STR_PAYCARNIVAL_FINISHED	<img src='uires/ui_2nd/com/panel/common/cash_icon.png'/>已达成	<img src='uires/ui_2nd/com/panel/common/cash_icon.png'/> đạt đến
E_STR_PAYCARNIVAL_RECHARGE_EXPLAIN	当日累计充值<img src='uires/ui_2nd/com/panel/common/cash_icon.png'/>满%d即可在以下四种礼包中选取一种获得奖励，同时开启持续%d天的消费礼包，点击礼包即刻领取。	Trong ngày nạp <img src='uires/ui_2nd/com/panel/common/cash_icon.png'/> đủ %d, có thể chọn 1 trong 4 hình thức lễ bao để nhận thưởng 
E_STR_PAYCARNIVAL_EXPEND_EXPLAIN	每日消费满<img src='uires/ui_2nd/com/panel/common/cash_icon.png'/>%d即可在以下四种礼包中选取一种获得奖励，VIP达到要求更可以享受双倍奖励，点击礼包即刻领取。剩余: %d天	Mỗi ngày tiêu <img src='uires/ui_2nd/com/panel/common/cash_icon.png'/> đủ %d, có thể chọn 1 trong 4 hình thức lễ bao để nhận thưởng, cấp VIP đạt yêu cầu sẽ nhận thưởng gấp 2. Ấn vào lễ bao nhận ngay. Còn lại %d ngày  
E_STR_PAYCARNIVAL_VIP_DOUBLE	VIP%d双倍	VIP %d gấp 2
HELP_PAYCARNIVAL_1	达成充值条件当日，请及时领取奖励并开启七日奖励。	Đạt điều kiện Nạp trong ngày, hãy nhận ngay phần thưởng và mở phần thưởng tiêu 7 ngày
HELP_PAYCARNIVAL_2	七日奖励开启后不间断持续七天，每天0点重置。七天重置刷新后可再次开启充值嘉年华。	0 giờ hằng ngày thiết lập lại phần thưởng tiêu 7 ngày. Sau 7 ngày tiêu sẽ mở lễ hội nạp lần nữa .
HELP_PAYCARNIVAL_3	活动期间，每日消耗元宝达到特定金额，可领取奖励礼包。VIP等级达到相应要求还可领取双倍奖励。每天请及时领取奖励，逾期作废。	Trong thời gian sự kiện, mỗi ngày tiêu hao lượng KNB nhất định sẽ nhận được lễ bao. Cấp VIP đạt yêu cầu tương ứng còn nhận được phần thưởng gấp 2. Hãy kịp thời nhận thưởng mỗi ngày, quá hạn bị hủy bỏ 
HELP_PAYCARNIVAL_4	达到活动开启条件当日请及时领取奖励，每天0点重置后，充值元宝计数将会清空。需重新达到活动开启条件，方能开启活动。	Đạt đủ điều kiện sự kiện trong ngày mời nhanh chóng nhận phần thưởng, mỗi ngày 0 giờ thiết lập lại, tổng tích lũy KNB nạp sẽ được xóa sạch. Cần phải đạt điều kiện từ đầu của sự kiện, sự kiện mới được mở 
HELP_PAYCARNIVAL_5	每日消耗元宝奖励档次分为240元宝、480元宝、840元宝三个档次，请各位主公不要错过。	Phần thưởng tiêu hao KNB mỗi ngày được chia thành 240 KNB, 480 KNB, 840 KNB, các vị Chủ Công đừng bỏ lỡ nhé 
E_STR_PAYCARNIVAL_ALREADY	今日礼包已领取成功，请明日再来领取	Hôm nay đã nhận thành công lễ bao, mời ngày mai quay lại nhận tiếp nhé
E_STR_PAYCARNIVAL_EXPEDN_NOTENOUGH	消费元宝未达到要求不能领取奖励	Tiêu phí KNB chưa đạt yêu cầu không thể nhận thưởng
